#Id|nom|age|taille|pied|nationalite|position|club|ligue|fin_contrat|valeur_actuelle|valeur_max|montant_transfert|CDM|LDC|nb_selections|nb_buts
390.html|odilon-kossounou|22|1.91|droit|Côte d'Ivoire|Défenseur central|Bayer 04 Leverkusen|bundesliga| 2026|20|23|26.85 |0|0|16|0
113.html|lorenzo-pellegrini|26|1.86|ambidextre|Italie|Milieu offensif|AS Roma|serie-a| 2026|45|45|11.25 |0|0|23|5
406.html|kiernan-dewsbury-hall|24|1.78|gauche|Angleterre|Milieu central|Leicester City|premier-league| 2027|20|20|0.00|0|0||
369.html|nicolas-pepe|27|1.83|gauche|Côte d'Ivoire|Ailier droit|OGC Nice|ligue-1| 2023|22|75|98.00 |0|0|35|9
386.html|lucas-digne|29|1.78|gauche|France|Arrière gauche|Aston Villa|premier-league| 2026|22|35|84.20 |0|0|46|0
105.html|jonathan-david|23|1.75|ambidextre|Canada|Avant-centre|LOSC Lille|ligue-1| 2025|45|50|27.00 |0|0|37|22
410.html|pedro|25|1.85|droit|Brésil|Avant-centre|Clube Regatas Flamengo|carioca-taca-guanabara| 2027|20|20|26.00 |0|0|4|1
294.html|morgan-gibbs-white|23|1.78|droit|Angleterre|Milieu offensif|Nottingham Forest|premier-league| 2027|25|25|29.50 |0|0|10|1
152.html|ben-chilwell|26|1.80|gauche|Angleterre|Arrière gauche|Chelsea FC|premier-league| 2025|38|50|50.20 |0|1|17|1
447.html|breel-embolo|26|1.87|droit|Suisse|Avant-centre|AS Monaco|ligue-1| 2026|20|22|50.00 |0|0|63|13
92.html|moussa-diaby|23|1.70|gauche|France|Ailier gauche|Bayer 04 Leverkusen|bundesliga| 2025|50|60|15.00 |0|0|8|0
430.html|naby-keita|28|1.72|droit|Guinée|Milieu central|FC Liverpool|premier-league| 2023|20|65|91.25 |0|1|50|11
125.html|gabriel-magalhaes|25|1.90|gauche|Brésil|Défenseur central|FC Arsenal|premier-league| 2027|40|40|29.00 |0|0|0|0
349.html|illan-meslier|22|1.97|gauche|France|Gardien de but|Leeds United|premier-league| 2026|22|22|6.50 |0|0|9|0
467.html|toni-kroos|33|1.83|droit|Allemagne|Milieu central|Real Madrid|laliga| 2023|20|80|27.30 |1|5|106|17
488.html|claudinho|26|1.70|droit|Brésil|Milieu offensif|Zenit St. Pétersbourg|premier-liga| 2027|18|18|12.50 |0|0|0|0
172.html|carlos-soler|26|1.80|droit|Espagne|Milieu central|Paris Saint-Germain|ligue-1| 2027|35|50|18.00 |0|0|14|4
471.html|kamaldeen-sulemana|21|1.75|droit|Ghana|Ailier gauche|FC Southampton|premier-league| 2027|18|20|42.00 |0|0|15|0
164.html|dominik-szoboszlai|22|1.87|droit|Hongrie|Milieu offensif|RasenBallsport Leipzig|bundesliga| 2026|35|35|22.50 |0|0|28|6
308.html|kyle-walker-peters|25|1.73|droit|Angleterre|Arrière droit|FC Southampton|premier-league| 2025|25|25|13.30 |0|0|2|0
426.html|christoph-baumgartner|23|1.80|droit|Autriche|Milieu offensif|TSG 1899 Hoffenheim|bundesliga| 2025|20|22|0.00|0|0|25|7
